,0,1,2,3,4,5,6,7,8,9
"[7, 100, 100, 32, 0.0, None]",166.89592376455053,165.3881497658602,162.666154631258,170.12603534612123,161.66606359607493,178.29461625018303,171.96259776416375,167.95895519256123,167.34121611107054,167.81853356665843
"[7, 50, 100, 32, 0.0, None]",167.01249469927646,167.80491497972227,170.77343697864643,166.44342931577089,186.96790862036733,165.92294090430076,180.04957473468883,173.75705383359934,169.9938577329459,169.1062097819739
"[7, 100, 100, 16, 0.0, None]",167.18295092563184,192.60047410105653,168.21046134663706,166.19165800504854,168.1502283216161,172.1211623587353,168.7265562389304,182.51206202613932,170.79824810734587,168.80442523149975
"[7, 50, 100, 16, 0.0, None]",163.78437249536006,169.83331587479807,161.7299285076347,171.79427721687094,204.4763296733775,166.3620520977014,207.52482796286316,163.1591857213214,170.67698449509652,168.07023641329977
"[7, 100, 100, 16, 0.0, 'MinMax']",201.16905398507495,203.0361921247047,226.19290543416696,197.9893364394911,201.43499843311739,204.26244033412016,203.69705984009687,202.30869628799945,202.86866518144197,204.84414807360253
"[7, 50, 100, 32, 0.0, 'MinMax']",221.86955979246005,211.5489840586572,220.8343818764415,206.37755525371455,204.3966922738722,206.31992185983881,203.68619591481894,204.96025719941414,202.00410925585152,209.11972311035132
"[7, 50, 100, 16, 0.0, 'MinMax']",205.36303601792608,201.9320256144379,202.03857536990307,202.58473342961952,207.29404311870613,204.96110530415277,212.12988908626244,208.9249080112278,263.20531731425945,211.7599521716748
"[7, 100, 100, 32, 0.0, 'MinMax']",203.9299148145019,221.0113561137753,214.61738301859427,233.24107365020424,203.18964355990195,220.0842700819393,204.76790405542076,205.82612694031337,212.69539729681506,407.9659337800155
