,0,1,2,3,4,5,6,7,8,9
"[7, 50, 100, 16, 0.0, None]",52.513930443502325,57.7832675249451,65.60598682904252,54.346784615530616,51.1563024969187,52.22925677885791,62.21252440915234,51.11270911625723,53.29524193115179,76.06806227094424
"[7, 50, 100, 32, 0.0, None]",62.99492273373906,56.08891832747193,60.63611114626765,61.26302423341719,55.28573612809841,55.362128772472275,55.54549050669824,55.54659223270547,56.94252924258164,58.82412720128797
"[7, 100, 100, 32, 0.0, None]",59.59009353950432,62.10737614708095,52.821185491417644,56.9418927538471,52.55892572939562,93.09597911899847,54.53848000064954,62.72809744432215,53.33326365148443,51.99968543324325
"[7, 100, 100, 32, 0.0, 'MinMax']",54.61923152429731,55.931106480978166,56.03525458559413,68.4481244620365,55.39971572157887,62.21353066025629,53.777025275608274,66.23376575125559,62.206725775117214,65.40153533215104
"[7, 100, 100, 16, 0.0, None]",109.42280651645478,57.78892678181305,55.38127786084391,49.27047381387508,51.91707160673404,53.982905189831854,54.626941916998476,58.32351224058891,62.68108726858426,51.53587854440584
"[7, 100, 100, 16, 0.0, 'MinMax']",52.2545905766003,59.54692829963503,57.22174307777923,63.99776073353075,72.16308772820597,59.5206375875471,89.0539990460493,58.969315130439874,71.72891744377752,49.37043590455983
"[7, 50, 100, 16, 0.0, 'MinMax']",60.65552470951237,56.060328291865595,61.12358394730278,99.4966149167509,56.85226054928625,58.77286854376133,55.82686169906574,69.1055154036569,61.50146954283399,55.76258079376251
"[7, 50, 100, 32, 0.0, 'MinMax']",76.78359873853303,72.51443270735497,73.42072968603637,61.72755416942391,62.91856581642211,55.87653214024146,60.87661487071899,101.08880642791101,59.85472926064344,60.12087378201807
