,0,1,2,3,4,5,6,7,8,9
"[7, 50, 100, 16, 0.0, 'MinMax']",49.092157477210414,57.60989700791748,52.38074133212945,51.558132098867006,52.95130198276133,55.04784055279558,53.86824943601233,59.43205430741104,56.33346599228868,55.800629407890895
"[7, 100, 100, 32, 0.0, 'MinMax']",86.91650103744536,53.534179606332394,59.2961924811919,55.336674994136175,63.534281755668836,57.52733782884509,64.37939645295405,54.63699434788569,71.97636652563567,58.07237095307642
"[7, 50, 100, 32, 0.0, None]",89.8899357776819,71.67373309542268,98.49687926597684,49.89859234658063,97.4572774229277,72.57576508036074,51.55965710008098,45.512281115731795,86.22578346279839,70.80911115384164
"[7, 50, 100, 32, 0.0, 'MinMax']",84.44417978536514,92.58908170873309,67.12320056173189,68.98203886992698,57.98713290608655,94.366781576013,63.129981066850156,61.45411688487978,57.31613218890395,93.23371100118172
"[7, 50, 100, 16, 0.0, None]",53.093844264925146,70.94892529136717,90.94477526739786,90.94876970546386,73.32368507493844,111.53918698993193,147.51609419610799,56.653789418438286,78.43740351089683,86.55052376538515
"[7, 100, 100, 16, 0.0, 'MinMax']",86.21602308572781,79.12884136113867,83.75189188628069,57.175666893929844,62.04508071568305,73.48992477182672,151.83453035912154,79.50764323026591,101.2638252520983,85.7441204935869
"[7, 100, 100, 32, 0.0, None]",76.38400110625261,56.505422686400195,153.64919205368443,62.48993473639875,69.84931116003399,55.52540240736667,114.86475573201294,67.99841306742019,199.16653482387548,76.11529469126097
"[7, 100, 100, 16, 0.0, None]",113.62337990456673,67.04260174858035,90.13307761131593,95.86341805858478,84.24508227023551,161.17043822069232,70.95162304345124,62.89389354860395,57.5955727465228,140.60426235982322
