,0,1,2,3,4,5,6,7,8,9
"[7, 100, 100, 16, 0.0, 'MinMax']",55.53233151732421,42.52204161887691,48.37633739268869,45.405352064418025,37.03720943608603,72.25038521739867,45.8770515336576,36.01214733752175,58.780693444999436,44.24487137034218
"[7, 100, 100, 16, 0.0, None]",36.26154180481713,43.460264100256715,47.68744368443595,50.31935366750675,39.058954526599116,45.18120931100326,71.9376187824823,70.65127415031168,50.62257179747613,55.702984747369015
"[7, 100, 100, 32, 0.0, None]",49.32138851689371,59.506987345762596,54.63960626016283,65.1810129802,40.850604041873574,46.85587370213712,49.428150783169606,53.96185085461997,53.802583744446004,43.669201338103406
"[7, 100, 100, 32, 0.0, 'MinMax']",63.92003329106112,54.29960809370489,50.42071116879121,55.50679421621018,52.083208372542124,54.80901294325195,51.16007288185021,48.90980499138155,51.32410432354276,50.97781568428487
"[7, 50, 100, 16, 0.0, 'MinMax']",71.21363461352678,58.21739125521997,55.04490783493655,59.65059672807625,65.68363193319718,64.45688185286012,56.81954633730129,69.59956730580284,66.02495130634397,55.40133201290537
"[7, 50, 100, 16, 0.0, None]",50.18358731006524,79.00573889152629,61.149986184005776,67.74515560695197,76.43368425885238,66.39317211947353,54.75174095076187,54.24802377586438,51.773386956226624,63.05241208010205
"[7, 50, 100, 32, 0.0, 'MinMax']",94.84352862412385,53.61197986239293,62.91684624181051,48.96639921367636,61.20340821992167,117.00148152774605,64.36642084823809,59.47107358834209,82.5637596894818,61.05375129240627
"[7, 50, 100, 32, 0.0, None]",57.82799576078566,60.94328257326335,62.54694077200484,66.19905165706993,146.04823809738755,69.16799659324018,84.6357012474902,71.68367825368061,68.87415607919078,63.109839762648235
