,0,1,2,3,4,5,6,7,8,9
"[7, 100, 100, 32, 0.0, None]",163.4450974489251,151.9415582765697,169.9452998035499,148.66671074610034,161.35917922686798,193.71906986133624,164.16569111674508,156.5396042599055,171.16223019300554,153.94612664124048
"[7, 50, 100, 32, 0.0, None]",165.3781181259471,166.88214911817536,164.17886201856498,162.47991968723719,169.2978724017469,163.72673617998296,170.52808429570524,163.92305693387488,162.3963824635626,165.4582641735534
"[7, 50, 100, 16, 0.0, None]",172.4234450114961,163.4547179976416,157.21356715859486,162.80481161446625,160.2926995004933,178.35884640801123,180.7900981747662,165.49581784427482,169.18686852112174,163.73132077466622
"[7, 100, 100, 32, 0.0, 'MinMax']",182.73547522648687,159.66548282659593,152.52787911149227,151.3689292238503,180.65259304809328,176.44297945795407,163.19973742894013,190.23267003856094,171.530398863802,152.80436455849355
"[7, 100, 100, 16, 0.0, 'MinMax']",167.23907498884643,156.93896853156005,187.12560537644228,171.7200949674353,161.79659660164364,159.51335293831985,179.4288192344669,176.21534455390088,187.77817906042756,154.5855724792906
"[7, 100, 100, 16, 0.0, None]",169.31050661810653,180.15647547908003,181.07007960937213,178.96362134343764,163.8776805003265,166.04738769903838,165.58653382630075,166.7719615003663,172.22059869841402,169.2011633967039
"[7, 50, 100, 32, 0.0, 'MinMax']",180.8211197392329,221.84508601161306,182.90342824151767,184.27908522130232,159.74853897023596,185.9918828033901,194.14580538863052,165.7589081316597,174.95152230332263,172.1627591118358
"[7, 50, 100, 16, 0.0, 'MinMax']",186.23337803345026,170.80274624548633,201.91687839616083,172.3317907228669,181.02474148925057,191.21751153790805,179.70575994177258,180.94478072570925,174.63306956122315,190.40349835940515
