,0,1,2,3,4,5,6,7,8,9
"[7, 50, 100, 16, 0.0, 'MinMax']",50.654440224457375,66.65742204782975,54.37864122147362,48.92165292587731,47.47163009695896,50.40285462060904,45.74258712997932,65.80620073129508,57.388115075798794,55.2513720311824
"[7, 100, 100, 16, 0.0, None]",41.43753829655093,50.113623338775106,46.826503558848756,53.661466421591804,61.15289057265098,53.862547955565795,59.2228416297557,84.9521234652201,60.02055108656013,38.47735167337891
"[7, 100, 100, 32, 0.0, 'MinMax']",44.342333652063665,46.335968454929805,47.04685164811775,55.86558313403924,98.06647836894878,102.16275025204881,56.736606176865656,45.208067965571004,55.67682364688426,53.52849069800352
"[7, 50, 100, 16, 0.0, None]",59.99720588735955,54.66080807274964,49.085461787420805,52.20926461314947,143.928028224054,53.78478982448641,55.337890632623484,50.77158052400215,62.26382598684057,53.912129419025355
"[7, 100, 100, 16, 0.0, 'MinMax']",100.8598288622631,48.89244014287894,99.12400003436352,51.098907900970595,53.69258834298036,50.24052742262092,45.134196604404075,71.66633092520678,62.42970851973742,59.24847126851671
"[7, 100, 100, 32, 0.0, None]",68.33526079138817,54.090869264549724,53.95857870815793,73.80924671022753,86.29745909870708,68.55545547482839,58.21555784222,75.1443988754292,57.818409522258015,60.38459013574105
"[7, 50, 100, 32, 0.0, 'MinMax']",66.25941737560373,80.57542087365802,55.50029964194285,79.0320892271329,61.72377399531057,63.33922267992359,67.80983953932623,75.23138057161488,65.55456263951521,56.48740619910483
"[7, 50, 100, 32, 0.0, None]",67.92762209309318,81.31645773845494,123.6271114470873,58.074147748054386,102.24425716939928,85.0245231643536,64.34956977239474,70.84236772881161,70.59061870221139,71.39597060392762
